og_representation,mapping
wing - n,wing no n0
wing - o,wing no o0
wing - p,wing no p0
wing - q,wing no q0
wing - r,wing no r0
wing - s,wing no s0
wing - t,wing no t0
wing - u,wing no u0
wing - v,wing no v0
wing - w,wing no w0
wing - x,wing no x0
wing - y,wing no y0
wing - z,wing no z0
a wing,wing no a0
a wing,wing no a0
a wing,wing no a0
b wing,wing no b0
c wing,wing no c0
d wing,wing no d0
e wing,wing no e0
f wing,wing no f0
g wing,wing no g0
h wing,wing no h0
i wing,wing no i0
j wing,wing no j0
k wing,wing no k0
l wing,wing no l0
m wing,wing no m0
n wing,wing no n0
o wing,wing no o0
p wing,wing no p0
q wing,wing no q0
r wing,wing no r0
s wing,wing no s0
t wing,wing no t0
u wing,wing no u0
v wing,wing no v0
w wing,wing no w0
x wing,wing no x0
y wing,wing no y0
z wing,wing no z0
Di Wing,wing no d0
Apartment,flat no
Apartment Number,flat no
F No,flat no
"flat ,",flat no
